all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"We whittle that down on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole current editorial staff ; all fifteen of us ."

original sentence,A mean cost per student criterion is used to tax only the schools that receive a fee higher than the mean cost per student fixed by the State .
wrong word,mean 2
mutation sentence,A high mean cost per student criterion is used to tax only the schools that receive a fee higher than the mean cost per student fixed by the State .
wrong word,mean 21
mutation sentence,A mean cost per student criterion is used to tax only the schools that receive a fee higher than the current mean cost per student fixed by the State .

original sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
wrong word,pink 18
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a dark pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a pale pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a bright pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a light pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a hot pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a small pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a soft pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a deep pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."

original sentence,"The Silver Clouds installation were silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
wrong word,silver 6
mutation sentence,"The Silver Clouds installation were two silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were large silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were three silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were small silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were four silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were five silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were six silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were ten silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were seven silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."
mutation sentence,"The Silver Clouds installation were eight silver balloons blown up with helium , and those balloons filled one of the smaller rooms in the gallery ."

original sentence,One of the more interesting of the many highrise residential buildings in Fort Lee
wrong word,highrise 9
mutation sentence,One of the more interesting of the many contemporary highrise residential buildings in Fort Lee

original sentence,"Fort Lee offers international cuisine and is famous for their pizzerias , delis and 24-hour diners , in addition to its Korean restaurants ."
wrong word,24-hour 15
mutation sentence,"Fort Lee offers international cuisine and is famous for their pizzerias , delis and free 24-hour diners , in addition to its Korean restaurants ."
mutation sentence,"Fort Lee offers international cuisine and is famous for their pizzerias , delis and local 24-hour diners , in addition to its Korean restaurants ."
mutation sentence,"Fort Lee offers international cuisine and is famous for their pizzerias , delis and outdoor 24-hour diners , in addition to its Korean restaurants ."
mutation sentence,"Fort Lee offers international cuisine and is famous for their pizzerias , delis and traditional 24-hour diners , in addition to its Korean restaurants ."

original sentence,"Ballet began in royal courts in the early 1600's , and early forms of this elegant and sophisticated art involved long skirts and wooden clogs ."
